review_id,business_id,business_name,city,state,primary_cuisine,stars,date,text
AqPFMleE6RsU23_auESxiA,kxX2SOes4o-D3ZQBkiMRfA,Zaika,Philadelphia,PA,Pakistani,5.0,2015-01-04 00:01:03,"Wow! Yummy, different, delicious. Our favorite is the lamb curry and korma. With 10 different kinds of naan!!! Don't let the outside deter you (because we almost changed our minds)...go in and try something new! You'll be glad you did!"
JrIxlS1TzJ-iCu79ul40cQ,04UD14gamNjLY0IDYVhHJg,Dmitri's,Philadelphia,PA,Mediterranean,1.0,2015-09-23 23:10:31,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!
LnGZB0fjfgeVDVz5IHuEVA,rBdG_23USc7DletfZ11xGA,Olio,Saint Louis,MO,Mediterranean,4.0,2014-08-10 19:41:43,"The hubby and I have been here on multiple occasions and we have loved every part of the meal, every single time. Everyone from the servers to the bartender is very knowledgable about the menu and was able to immediately recommend items I could eat as-is, substitute or delete to make something safe for this Celiac girl to eat. The wine and cocktail menus are spot on. The food divine. My only wish is that they would have a gluten-free dessert, we've always had to go elsewhere for something sweet. But that is not a big deal and I still want to go here time and time again."
G_5UczbCBJriUAbxz3J7Tw,x4XdNhp0Xn8lOivzc77J-g,Thai Place Restaurant,Phoenixville,PA,Thai,5.0,2013-08-15 15:27:51,Best thai food in the area. Everything was authentic and delicious. Will definitely be back again and again.
r2IBPY_E8AE5_GpsqlONyg,VJEzpfLs_Jnzgqh5A_FVTg,Jasmine Rice - Rittenhouse,Philadelphia,PA,Thai,4.0,2014-04-01 13:05:18,"It was my fiance's birthday and he decided he wanted a good, laid back Thai restaurant for dinner. Yelp steered us in the Jasmine Rice direction, and it was definitely a good decision. We wanted the summer rolls, which were on the menu, but apparently will not be available until summer, so we settled on the pan-fried dumplings. The flavor was good, but I don't think we'd order them again. We got the green curry fried rice with duck and chicken pad thai. Both of those dishes were great, but the duck stole the show. That was some the of tastiest duck I've ever had. The pad thai was a bit sweet for us, so I think we'd try a different noodle dish when we return. But it was still very good, especially with some chili sauce mixed in. Our service was good, but other people had issues. One table was rushing to get to a show at the Kimmel Center and waited quite a while for their meal (and were going to be late). Another person who got take-out was missing one of their items (but the owner realized it and called him and walked the dish to his house, which was very nice). Overall, good quality Thai! We would definitely go back."
dzNxNW9XpJiECE-bKATezw,6LCZLGa09Qifn6rG7-DNrg,Erawan Thai Cuisine,Philadelphia,PA,Thai,4.0,2015-02-16 07:20:16,"My go to menu is coconut soup and pad thai with protein. I tried same menu here. Actually really like their coconut soup. They used enough amount of coconut milk that soup was really creamy and wasn't over powering with herb. I am so used to Americanized thai cuisine that I prefer less herb on my dish except cilantro. Pat thai was great too. Liked the amount of peanut they used, noodle was chewy and perfect and not too sweet. They gave me generous amount of chicken and white meat wasn't dry so I was very happy with my meal."
fGYcFOHfQL4stYPdD3J47g,PzhPMkaNYiKDTHoTG0r8rw,Pho Cam Ly,New Orleans,LA,Vietnamese,4.0,2016-09-18 22:43:18,After 3 weeks of working in the area I finally found a place off of Magazine that is not overrated. Friendly staff! Y'all know I love Phò so it's pretty damn good!
_UYXYxRRnZtH-dNJZEkMQQ,lpfrjbjIWC0BNZThaSDMLw,Simply Thai Restaurant,Florissant,MO,Thai,5.0,2015-12-21 00:17:29,"Been here so many times before and all I can say is the food is really good. A hidden gem in Florissant, it has the best Panang curry around. Haven't been to their sister restaurant yet, but I can't seem to want to move on when I am always so satisfied with their fare here."
byblHsbxiqb1pC1cuSfslA,18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,Carpinteria,CA,Thai,4.0,2011-10-28 03:43:05,"This is the first time I tried this place and I was surprisingly surprised. I had a combination dinner pad Thai and coconut soup. The soup was very tasty as I never had coconut soup before. The pad Thai was exactly what I was expecting and it did not disappoint. The restaurant had great Thai decor and music. The staff and service was top notch. For a town with not much selection for food, this was a great change of pace. This may become my go to place in Carp."
FMFZoES5LfumuwhsZbIDlQ,f4PA-f1tcN1bIpZJLdFsQQ,Deccan Spice,Clearwater,FL,Indian,5.0,2017-05-26 02:32:01,"I must admit, I wasn't expecting much. This place totally blew us away. This has to be one of the best Indian restaurants in the Tampa Bay. The ambience is wonderful including white table linens. The best part was the food, OMG. The chicken 65 was to die for, and the hot sour soup was rich and flavorful. The waitress (Angel) was friendly, attentive and very pleasant. They opened just a week ago. I'm sure this will soon be the place foodies seek out for real Indian food."
8GZbCEMxrbqmRinDbfHWVQ,FHNIvNgh3fS7VZQq2Y3dsA,Cheu Noodle Bar,Philadelphia,PA,Vietnamese,3.0,2014-07-13 18:28:58,"After trying a few ramen places with crazy variety in their selections and stellar broth, I was not too excited about the ramen I got at Cheu. Maybe it's a matter of taste, but personally, I was not a fan of their thick noodles, and extremely salty broth. The service was great, and they had a nice selection of beers! The friend I went with loved it, and has been many times. Honestly, I'm just sorry I wasn't a bigger fan. But I hope others try it for themselves. I might just be an oddball out on this one."
quiZPC8t-iZs1uiMA1ovEQ,-ikBycdroyTLDBHR9aC3HA,Sukho Thai,Nashville,TN,Thai,5.0,2014-09-25 18:36:53,"Stopped in for the lunch menu with my girlfriend, place was extremely clean, food was ON POINT! And AFFORDABLE Can't wait to go back!!"
HME_ksGph3se7Aze5hxa-Q,kxX2SOes4o-D3ZQBkiMRfA,Zaika,Philadelphia,PA,Pakistani,2.0,2014-07-13 17:25:47,"Dine-in gets 2 stars. Disappointing service & venue falls short. The food was ok; so if you were to do take out, maybe this place would get 3 stars. I ordered the lamb kebab, which tasted ok; but it was very plain. No sauces, lettuce or anything - just meat."
